Model,Year Created,Engine,0-60 mph (s),0-100 mph (s),Top Speed (mph),Power (hp),Description
Lamborghini Urus,2019,4.0L V8 Twin-Turbo,3.1,11.3,190,657,Super SUV with sports car performance.
Lamborghini Huracán Evo,2019,5.2L V10 NA,2.9,9.0,202,640,Evolved Huracán with improved aerodynamics and infotainment.
Lamborghini Huracán,2014,5.2L V10 NA,2.5,8.9,202,610,Base Huracán with dynamic AWD.
Lamborghini Aventador,2011,6.5L V12 NA,2.7,9.0,217,730,Flagship Lambo with scissor doors and a V12 engine.
Lamborghini Huracán STO,2021,5.2L V10 NA,2.6,8.9,193,640,Track-focused Huracán with rear-wheel drive.
Ferrari Roma,2020,3.9L V8 Twin-Turbo,3.3,10.2,199,620,Elegant front-engine coupe blending performance and luxury.
Ferrari Purosangue,2023,6.5L V12 NA,3.3,10.4,193,715,"Ferrari's first four-door, four-seat model."
Ferrari 12Cilindri,2024,6.5L V12 NA,2.9,9.4,211,819,Modern V12 GT inspired by Ferrari’s 1960s design.
Ferrari 296 GTB,2021,3.0L V6 Hybrid,2.9,7.3,205,830,Ferrari’s plug-in hybrid with innovative turbo V6.
Ferrari Daytona SP3,2021,6.5L V12 NA,2.8,9.7,211,840,Icona Series homage to 60s Ferrari sports prototypes.
Ferrari SF90 Stradale,2019,4.0L V8 Hybrid,2.0,6.7,211,1000,Hybrid supercar with AWD and electric front axles.
BMW M4,2021,3.0L I6 Twin-Turbo,2.8,9.9,180,503,Coupe with aggressive styling and sharp dynamics.
BMW M8,2019,4.4L V8 Twin-Turbo,2.5,9.3,190,617,Luxury grand tourer with supercar performance.
BMW XM,2023,4.4L V8 Hybrid,4.1,11.0,168,738,Bold plug-in hybrid SUV flagship for BMW M.
BMW X7 M60i xDrive,2024,4.4L V8 Twin-Turbo,4.5,11.7,155,523,High-performance luxury 3-row SUV.
BMW iX,2022,Dual Electric Motors,4.0,10.5,124,516,Futuristic electric SUV with advanced tech.
Jaguar F-Type,2021,5.0L V8 Supercharged,3.5,10.1,186,575,British luxury sports coupe with roaring exhaust.
Mercedes-Benz E-Class,2023,2.0L I4 Mild Hybrid,6.1,14.3,130,255,Executive sedan with cutting-edge luxury tech.
Chevrolet Corvette ZR1,2025,6.2L V8 Supercharged,2.2,8.6,212,850,Ultimate C8 ZR1 with ZTK aero package.
Shelby Mustang,2020,5.2L V8 Supercharged,3.3,10.0,180,760,High-performance muscle car icon.
BMW E92 M3,2008,4.0L V8 NA,4.1,11.7,155,414,Classic V8 M3 coupe with high-rev character.
Nissan GT-R R35,2021,3.8L V6 Twin-Turbo,2.7,8.4,196,600,Godzilla's latest evolution with AWD precision.
Porsche 911 GT3,2021,4.0L Flat-6 NA,2.7,9.4,198,502,Track-focused NA rear-engine sports car.
Ford GT,2017,3.5L V6 Twin-Turbo,3.0,9.5,216,660,Le Mans-inspired American supercar.
Abarth 695,2023,1.4L I4 Turbo,6.7,15.2,140,180,Compact hot hatch with Italian flair.
Ford Mustang Mach 1,2021,5.0L V8 NA,4.2,10.9,166,480,Special edition muscle coupe with track upgrades.
Aston Martin DBS,2019,5.2L V12 Twin-Turbo,3.4,9.7,211,715,GT combining British elegance and brute power.
Jaguar F-Type R,2022,5.0L V8 Supercharged,3.5,10.2,186,575,High-performance F-Type variant with AWD.
Lexus LC 500,2018,5.0L V8 NA,4.4,11.2,168,471,Luxury coupe with stunning design and sound.
Mercedes-AMG E63 S,2021,4.0L V8 Twin-Turbo,3.3,10.1,186,603,Super sedan with drift mode and luxury.
BMW M8 Competition,2020,4.4L V8 Twin-Turbo,2.7,8.9,190,617,Flagship M model with extreme performance.
Ferrari 812 GTS,2020,6.5L V12 NA,2.8,9.2,211,789,Open-top GT with thunderous V12.
Lamborghini Aventador SVJ,2019,6.5L V12 NA,2.5,8.6,217,770,Track-ready Aventador with aero wizardry.
